datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300004/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300004/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300009/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300009/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300021/s1_r1/eeg/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300021/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300021/s1_r1/audacity/deviation.txt does not match expected identifier format
2025-09-24_13-40,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/checked/sub-3300021/s1_r1/psychopy/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300004/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300004/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300009/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300009/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/eeg/sub-3300021/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300021/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/audacity/sub-3300021/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300021/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/audacity/sub-3300063/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/eeg/sub-3300093/deviation.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,File /home/data/NDClab/datasets/read-study2-dataset/sourcedata/raw/s1_r1/psychopy/sub-3300115/Issue.txt does not match expected identifier format
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,"File name sub-3300118_reading-ranger-v2-2_psychopy_s1_r1_e1_1.psydat contains additional information (1), but deviation.txt is missing"
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,"File name sub-3300118_reading-ranger-v2-2_psychopy_s1_r1_e1_1.csv contains additional information (1), but deviation.txt is missing"
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,"File name sub-3300138_reading-ranger-v2-2_psychopy_s1_r1_e1_1.csv contains additional information (1), but deviation.txt is missing"
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,"File name sub-3300138_reading-ranger-v2-2_psychopy_s1_r1_e1_1.psydat contains additional information (1), but deviation.txt is missing"
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
2025-09-24_13-41,llaplace,Unknown Identifier,,,0,,Naming error,Invalid variable name reading-ranger-v2-2_psychopy
